Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
MESSAGE-GLOBIOM,SSP2-26,World,Emissions|CO2,Mt CO2/yr,37277.165,39708.024,39940.696,33778.661,25557.516,15630.265,8567.455,1283.484,-4819.196,-7238.38,-9076.15
MESSAGE-GLOBIOM,SSP2-26,World,Emissions|CO2|Land Use,Mt CO2/yr,6894.948483,7161.443786,4437.784919,2790.836408,97.14806388,-1994.614522,-3373.086072,-3277.817075,-4260.443957,-3849.476413,-3786.698449
MESSAGE-GLOBIOM,SSP2-26,World,Emissions|CO2|FF&I,Mt CO2/yr,30382.21652,32546.58021,35502.91108,30987.82459,25460.36794,17624.87952,11940.54107,4561.301075,-558.7520432,-3388.903587,-5289.451551
MESSAGE-GLOBIOM,SSP2-26,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,14486.522,13206.565,12614.532,10711.384,8218.932,5387.476,3096.056,1156.567,-332.829,-1210.911,-1870.974
MESSAGE-GLOBIOM,SSP2-26,R5OECD90+EU,Emissions|CO2|Land Use,Mt CO2/yr,372.415822,449.4521139,195.3445101,143.9498379,-24.85889429,-384.2137263,-632.3994528,-663.1177176,-661.5584557,-417.0460893,-266.0952102
MESSAGE-GLOBIOM,SSP2-26,R5OECD90+EU,Emissions|CO2|FF&I,Mt CO2/yr,14114.10618,12757.11289,12419.18749,10567.43416,8243.790894,5771.689726,3728.455453,1819.684718,328.7294557,-793.8649107,-1604.87879
MESSAGE-GLOBIOM,SSP2-26,R5REF,Emissions|CO2,Mt CO2/yr,2742.073,2658.699,2752.611,2244.677,1755.384,1097.091,676.838,288.142,67.195,-140.642,-269.096
MESSAGE-GLOBIOM,SSP2-26,R5REF,Emissions|CO2|Land Use,Mt CO2/yr,119.051441,96.31495485,85.28860161,78.72924931,42.58836444,-34.17149626,-86.617494,-104.5953833,-114.3295132,-165.3795466,-164.9401863
MESSAGE-GLOBIOM,SSP2-26,R5REF,Emissions|CO2|FF&I,Mt CO2/yr,2623.021559,2562.384045,2667.322398,2165.947751,1712.795636,1131.262496,763.455494,392.7373833,181.5245132,24.73754661,-104.1558137
MESSAGE-GLOBIOM,SSP2-26,R5ASIA,Emissions|CO2,Mt CO2/yr,10488.011,13437.424,15054.143,12528.573,9499.867,5874.171,3402.026,745.435,26.177,-528.788,-825.082
MESSAGE-GLOBIOM,SSP2-26,R5ASIA,Emissions|CO2|Land Use,Mt CO2/yr,1036.694843,1029.728842,484.7277873,96.15099922,-388.1712597,-679.745975,-974.5586946,-956.8790158,-724.0306398,-649.9130884,-643.8108009
MESSAGE-GLOBIOM,SSP2-26,R5ASIA,Emissions|CO2|FF&I,Mt CO2/yr,9451.316157,12407.69516,14569.41521,12432.422,9888.03826,6553.916975,4376.584695,1702.314016,750.2076398,121.1250884,-181.2711991
MESSAGE-GLOBIOM,SSP2-26,R5MAF,Emissions|CO2,Mt CO2/yr,4474.073,5126.032,5818.575,5515.216,4644.861,3111.971,2054.398,816.669,-489.848,-688,-1043.662
MESSAGE-GLOBIOM,SSP2-26,R5MAF,Emissions|CO2|Land Use,Mt CO2/yr,1928.704541,2012.496592,1789.322,1513.149443,789.9482251,33.51068508,-426.5351592,-423.0862638,-1202.229516,-1081.632882,-1178.246068
MESSAGE-GLOBIOM,SSP2-26,R5MAF,Emissions|CO2|FF&I,Mt CO2/yr,2545.368459,3113.535408,4029.253,4002.066557,3854.912775,3078.460315,2480.933159,1239.755264,712.3815165,393.6328816,134.5840683
MESSAGE-GLOBIOM,SSP2-26,R5LAM,Emissions|CO2,Mt CO2/yr,5086.483,5279.303,3703.347,2778.815,1438.473,159.556,-661.862,-1723.329,-4089.891,-4670.043,-5067.333
