Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE 2.1,CD-LINKS_INDCi,R5ASIA,Emissions|CO2,Mt CO2/yr,11231.088,14359.2801,14873.5967,15238.9081,15180.1854,15513.176,16003.206,16343.3124,17097.8681,17722.1245
AIM/CGE 2.1,CD-LINKS_INDCi,R5ASIA,Primary Energy,EJ/yr,145.7409,191.0565,216.2135,234.2793,245.9771,258.3201,268.7644,275.0764,283.1479,288.6838
AIM/CGE 2.1,CD-LINKS_INDCi,R5ASIA,Primary Energy|Biomass,EJ/yr,23.6647,24.0751,25.9262,27.3646,29.6938,29.8102,30.1178,30.0109,29.6166,29.5846
AIM/CGE 2.1,CD-LINKS_INDCi,R5ASIA,Primary Energy|Fossil,EJ/yr,116.1932,155.0735,168.2376,179.0562,185.2168,195.6202,203.4916,207.3614,214.7828,217.7714
AIM/CGE 2.1,CD-LINKS_INDCi,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,4.5139,9.2641,17.0767,22.0967,25.3211,26.6589,27.949,29.3259,29.3942,30.6799
AIM/CGE 2.1,CD-LINKS_INDCi,R5LAM,Emissions|CO2,Mt CO2/yr,1726.7268,1879.6481,1595.849,1811.5221,1917.1625,2028.0104,2169.4228,2376.7236,2574.0901,2726.3699
AIM/CGE 2.1,CD-LINKS_INDCi,R5LAM,Primary Energy,EJ/yr,28.0027,32.0987,36.1859,40.5731,44.9717,49.0909,53.5396,57.9241,62.0934,65.7424
AIM/CGE 2.1,CD-LINKS_INDCi,R5LAM,Primary Energy|Biomass,EJ/yr,4.42,5.6088,7.3968,8.47,10.2275,11.7108,13.5447,15.0261,16.6165,18.0013
AIM/CGE 2.1,CD-LINKS_INDCi,R5LAM,Primary Energy|Fossil,EJ/yr,20.8407,23.0387,24.3075,27.0192,29.068,30.9499,33.0596,35.298,37.5039,39.222
AIM/CGE 2.1,CD-LINKS_INDCi,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.6276,3.2336,4.095,4.7247,5.3829,6.1443,6.6332,7.263999999999999,7.6012,8.1042
AIM/CGE 2.1,CD-LINKS_INDCi,R5MAF,Emissions|CO2,Mt CO2/yr,3515.5008,4340.093,4739.7751,5549.9787,6366.1266,7529.0404,8686.5914,10016.1261,11481.2018,12905.8992
AIM/CGE 2.1,CD-LINKS_INDCi,R5MAF,Primary Energy,EJ/yr,50.5362,63.9347,81.2055,97.7259,118.1993,142.1247,166.0257,191.3211,217.831,241.6213
AIM/CGE 2.1,CD-LINKS_INDCi,R5MAF,Primary Energy|Biomass,EJ/yr,10.7167,11.6645,12.9009,14.9367,18.587,23.0344,28.5694,34.4229,40.2591,43.64899999999999
AIM/CGE 2.1,CD-LINKS_INDCi,R5MAF,Primary Energy|Fossil,EJ/yr,39.2533,50.8944,66.1157,79.7224,95.53299999999999,113.3785,129.5259,145.9138,163.8021,181.4282
AIM/CGE 2.1,CD-LINKS_INDCi,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.4941,0.8867,1.3187,1.9288,2.7267,3.9466,5.5859,7.88,9.7078,11.3129
AIM/CGE 2.1,CD-LINKS_INDCi,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,13520.2437,14200.0035,9761.8867,10265.5285,10405.5503,10639.7436,11062.4859,11385.6402,11617.8399,11391.433
AIM/CGE 2.1,CD-LINKS_INDCi,R5OECD90+EU,Primary Energy,EJ/yr,210.7124,235.0973,220.7491,248.0198,263.6788,277.3443,289.2712,299.758,308.8487,314.0952
AIM/CGE 2.1,CD-LINKS_INDCi,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.5975,14.2154,25.8661,30.1291,37.7897,44.1726,51.7987,58.2061,63.8483,69.7509
AIM/CGE 2.1,CD-LINKS_INDCi,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,186.3378,205.4428,168.5643,184.2108,184.1208,188.418,190.2207,190.26,189.7515,183.7378
AIM/CGE 2.1,CD-LINKS_INDCi,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,5.7088,6.8816,15.7708,22.9763,31.306,33.6214,34.845,37.2786,39.6482,42.8136
AIM/CGE 2.1,CD-LINKS_INDCi,R5REF,Emissions|CO2,Mt CO2/yr,2899.4549,3235.3277,3962.3917,4240.4285,4119.9651,4120.2142,4262.124,4389.9802,4512.6969,4609.8211
AIM/CGE 2.1,CD-LINKS_INDCi,R5REF,Primary Energy,EJ/yr,43.5337,51.9472,63.2371,70.3571,73.2197,75.936,79.26,81.798,84.3205,86.2892
AIM/CGE 2.1,CD-LINKS_INDCi,R5REF,Primary Energy|Biomass,EJ/yr,0.4748,0.5424,0.7421,1.6496,3.1326,4.3723,5.0821,5.5245,6.0094,6.3177
AIM/CGE 2.1,CD-LINKS_INDCi,R5REF,Primary Energy|Fossil,EJ/yr,41.0368,48.4316,58.3756,62.5113,60.8776,60.82899999999999,62.1668,63.2224,64.2865,64.9776
AIM/CGE 2.1,CD-LINKS_INDCi,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,1.0598,1.5378,2.0989,3.6175,6.0661,6.9029,7.3402,7.8075,8.3656,8.9316
AIM/CGE 2.1,CD-LINKS_INDCi,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.8922892370000001,1.15743982,1.431834066,1.702271022,1.983333039,2.221275762,2.463413183,2.719927454,3.000583314,3.284530669
AIM/CGE 2.1,CD-LINKS_INDCi,World,Emissions|CO2,Mt CO2/yr,33954.0254,39274.5709,36068.4425,38447.2877,39519.9596,41523.0761,44033.1912,46515.0323,49433.6268,51588.3074
AIM/CGE 2.1,CD-LINKS_INDCi,World,Primary Energy,EJ/yr,492.671,590.9495,632.7404,708.8229,766.413,825.305,881.3968,932.4239,984.7002,1025.9565
AIM/CGE 2.1,CD-LINKS_INDCi,World,Primary Energy|Biomass,EJ/yr,49.8737,56.1061,72.8321,82.55,99.4309,113.1002,129.113,143.1905,156.3499,167.3033
AIM/CGE 2.1,CD-LINKS_INDCi,World,Primary Energy|Fossil,EJ/yr,417.8071,499.6961,500.75,550.3875,575.1827,611.6849,643.0008,668.6021,698.5855,716.6617
AIM/CGE 2.1,CD-LINKS_INDCi,World,Primary Energy|Non-Biomass Renewables,EJ/yr,14.4043,21.8039,40.3603,55.3441,70.8027,77.2739,82.3531,89.556,94.7169,101.8421
AIM/CGE 2.1,CD-LINKS_NPi,R5ASIA,Emissions|CO2,Mt CO2/yr,11116.609,13801.7203,14728.5209,15565.8154,15906.4875,16433.5155,17305.6503,17520.4537,17699.6084,17835.4469
AIM/CGE 2.1,CD-LINKS_NPi,R5ASIA,Primary Energy,EJ/yr,145.4432,186.1766,212.2721,234.0775,248.7292,262.0285,275.4139,281.2838,284.8196,286.1799
AIM/CGE 2.1,CD-LINKS_NPi,R5ASIA,Primary Energy|Biomass,EJ/yr,23.6516,23.9701,25.2414,26.101,27.5023,26.9858,27.0246,26.8837,26.3612,26.6428
AIM/CGE 2.1,CD-LINKS_NPi,R5ASIA,Primary Energy|Fossil,EJ/yr,115.8453,150.4224,168.056,184.2335,194.6512,204.936,215.6441,218.7878,221.4293,218.9481
AIM/CGE 2.1,CD-LINKS_NPi,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,4.5255,9.0793,15.1297,19.7186,22.436,25.3705,27.2613,29.3583,30.2423,32.834
AIM/CGE 2.1,CD-LINKS_NPi,R5LAM,Emissions|CO2,Mt CO2/yr,1763.1316,1970.7359,2150.8582,2378.8748,2579.0634,2829.1623,3065.9345,3325.434,3571.2204,3776.9759
AIM/CGE 2.1,CD-LINKS_NPi,R5LAM,Primary Energy,EJ/yr,28.1311,33.2069,38.8979,44.2656,49.6193,54.607,59.3256,64.0922,68.5452,73.1659
AIM/CGE 2.1,CD-LINKS_NPi,R5LAM,Primary Energy|Biomass,EJ/yr,4.4401,5.7634,7.3604,7.8613,8.4259,8.845,9.9479,10.9918,12.1258,13.7564
AIM/CGE 2.1,CD-LINKS_NPi,R5LAM,Primary Energy|Fossil,EJ/yr,20.9316,24.0353,27.5567,31.7477,35.6177,39.5347,42.9815,46.5356,49.7027,52.3961
AIM/CGE 2.1,CD-LINKS_NPi,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.6297,3.1588,3.7293,4.3804,5.2639,5.8615,5.9964,6.1307,6.2474,6.4992
AIM/CGE 2.1,CD-LINKS_NPi,R5MAF,Emissions|CO2,Mt CO2/yr,3547.6143,4347.1195,5024.8604,5827.2791,6729.8144,8086.3468,9545.5418,11384.5879,13365.6316,15365.9162
AIM/CGE 2.1,CD-LINKS_NPi,R5MAF,Primary Energy,EJ/yr,50.1391,63.9126,79.7001,97.6433,119.0168,144.4043,169.9097,198.5263,229.2634,259.7954
AIM/CGE 2.1,CD-LINKS_NPi,R5MAF,Primary Energy|Biomass,EJ/yr,10.6818,11.5588,12.5079,14.08,16.9077,19.6914,22.9598,26.9837,31.1785,36.1503
AIM/CGE 2.1,CD-LINKS_NPi,R5MAF,Primary Energy|Fossil,EJ/yr,38.8853,51.0612,65.2947,80.9947,98.4309,119.3065,139.4421,162.7398,187.731,210.9039
AIM/CGE 2.1,CD-LINKS_NPi,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.5199,0.922,1.3157,1.7938,2.6813,4.099,5.801,6.5442,7.444,8.9852
AIM/CGE 2.1,CD-LINKS_NPi,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,13564.514,14524.2143,15271.4324,15937.8944,16146.0348,16740.7917,17446.8473,18116.9795,18771.7763,18823.2772
AIM/CGE 2.1,CD-LINKS_NPi,R5OECD90+EU,Primary Energy,EJ/yr,211.1914,234.5017,257.0928,278.2176,293.1991,307.7758,320.8371,333.2719,344.5714,350.1644
AIM/CGE 2.1,CD-LINKS_NPi,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.5564,14.9375,21.1928,27.1002,30.9054,31.5527,34.4377,37.291,39.432,42.8861
AIM/CGE 2.1,CD-LINKS_NPi,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,187.0883,205.124,220.2442,232.748,239.1434,249.192,255.8755,262.0737,268.8384,267.01
AIM/CGE 2.1,CD-LINKS_NPi,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,5.7162,6.6943,7.8528,9.607000000000001,12.5442,14.1208,14.9904,15.8595,16.5273,17.8138
AIM/CGE 2.1,CD-LINKS_NPi,R5REF,Emissions|CO2,Mt CO2/yr,2875.3635,3425.6015,4011.2648,4572.527,4790.331,4909.4716,5099.6671,5212.7168,5323.0789,5337.3147
AIM/CGE 2.1,CD-LINKS_NPi,R5REF,Primary Energy,EJ/yr,43.3225,53.3426,63.4033,73.0596,78.2673,81.7445,84.9836,87.073,89.4989,90.6837
AIM/CGE 2.1,CD-LINKS_NPi,R5REF,Primary Energy|Biomass,EJ/yr,0.4739,0.5347,0.6589,1.0223,1.8642,2.4396,2.8258,3.1599,3.3619,3.5095
AIM/CGE 2.1,CD-LINKS_NPi,R5REF,Primary Energy|Fossil,EJ/yr,40.8086,50.0247,59.084,67.363,70.6068,72.3009,73.9341,74.3989,75.134,74.5442
AIM/CGE 2.1,CD-LINKS_NPi,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,1.0723,1.3397,1.6289,2.0814,2.6357,3.1512,3.5271,3.7892,4.0242,4.1229
