model,scenario,region,variable,unit,2005,2010
IMAGE,a_scenario,R5ASIA,Primary Energy,EJ/y,1.0,6.0
IMAGE,a_scenario,R5ASIA,Primary Energy|Coal,EJ/y,0.75,5.0
IMAGE,a_scenario,R5ASIA,Primary Energy|Gas,EJ/y,0.25,1.0
IMAGE,a_scenario,R5ASIA,Emissions|CO2,Mt CO2/yr,3.0,8.0
IMAGE,a_scenario,R5ASIA,Emissions|CO2|Cars,Mt CO2/yr,1.0,3.0
IMAGE,a_scenario,R5ASIA,Emissions|CO2|Power,Mt CO2/yr,2.0,5.0
IMAGE,a_scenario,R5REF,Primary Energy,EJ/y,0.3,0.6
IMAGE,a_scenario,R5REF,Primary Energy|Coal,EJ/y,0.15,0.4
IMAGE,a_scenario,R5REF,Primary Energy|Gas,EJ/y,0.15,0.2
IMAGE,a_scenario,R5REF,Emissions|CO2,Mt CO2/yr,1.0,1.4
IMAGE,a_scenario,R5REF,Emissions|CO2|Cars,Mt CO2/yr,0.6,0.8
IMAGE,a_scenario,R5REF,Emissions|CO2|Power,Mt CO2/yr,0.4,0.6
IMAGE,a_scenario,World,Primary Energy,EJ/y,1.3,6.6
IMAGE,a_scenario,World,Primary Energy|Coal,EJ/y,0.9,5.4
IMAGE,a_scenario,World,Primary Energy|Gas,EJ/y,0.4,1.2
IMAGE,a_scenario,World,Emissions|CO2,Mt CO2/yr,4.0,9.4
IMAGE,a_scenario,World,Emissions|CO2|Cars,Mt CO2/yr,1.6,3.8
IMAGE,a_scenario,World,Emissions|CO2|Power,Mt CO2/yr,2.4,5.6
IMAGE,a_scenario_2,R5ASIA,Primary Energy,EJ/y,1.4,6.4
IMAGE,a_scenario_2,R5ASIA,Primary Energy|Coal,EJ/y,0.95,5.2
IMAGE,a_scenario_2,R5ASIA,Primary Energy|Gas,EJ/y,0.45,1.2
IMAGE,a_scenario_2,R5ASIA,Emissions|CO2,Mt CO2/yr,3.4,8.4
IMAGE,a_scenario_2,R5ASIA,Emissions|CO2|Cars,Mt CO2/yr,1.2,3.2
IMAGE,a_scenario_2,R5ASIA,Emissions|CO2|Power,Mt CO2/yr,2.2,5.2
IMAGE,a_scenario_2,R5REF,Primary Energy,EJ/y,0.7,1.0
IMAGE,a_scenario_2,R5REF,Primary Energy|Coal,EJ/y,0.35,0.6
IMAGE,a_scenario_2,R5REF,Primary Energy|Gas,EJ/y,0.35,0.4
IMAGE,a_scenario_2,R5REF,Emissions|CO2,Mt CO2/yr,1.4,1.8
IMAGE,a_scenario_2,R5REF,Emissions|CO2|Cars,Mt CO2/yr,0.8,1.0
IMAGE,a_scenario_2,R5REF,Emissions|CO2|Power,Mt CO2/yr,0.6,0.8
IMAGE,a_scenario_2,World,Primary Energy,EJ/y,2.1,7.4
IMAGE,a_scenario_2,World,Primary Energy|Coal,EJ/y,1.3,5.8
IMAGE,a_scenario_2,World,Primary Energy|Gas,EJ/y,0.8,1.6
IMAGE,a_scenario_2,World,Emissions|CO2,Mt CO2/yr,4.8,10.2
IMAGE,a_scenario_2,World,Emissions|CO2|Cars,Mt CO2/yr,2.0,4.2
IMAGE,a_scenario_2,World,Emissions|CO2|Power,Mt CO2/yr,2.8,6.0
MESSAGE-GLOBIOM,a_scenario,R5ASIA,Primary Energy,EJ/y,0.8,5.8
MESSAGE-GLOBIOM,a_scenario,R5ASIA,Primary Energy|Coal,EJ/y,0.65,4.9
MESSAGE-GLOBIOM,a_scenario,R5ASIA,Primary Energy|Gas,EJ/y,0.15,0.9
