model,scenario,region,variable,unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2,Mt CO2/yr,10540.74,13160.18,11899.38,9545.81,7355.07,6119.50,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.18,11910.09,10748.33,8612.47,6776.59,5881.43,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,ASIA,Primary Energy,EJ/yr,133.56,168.75,163.43,179.86,214.20,227.27,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,LAM,Emissions|CO2,Mt CO2/yr,3285.00,3294.54,3367.62,2856.65,2207.36,1537.72,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1422.06,1648.20,1851.71,1627.47,1445.51,1224.19,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,LAM,Primary Energy,EJ/yr,27.40,31.42,34.80,40.32,46.80,47.60,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,MAF,Emissions|CO2,Mt CO2/yr,4302.21,4487.54,4238.91,3956.19,3490.81,2082.24,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2262.46,2684.96,2579.14,2610.36,2656.66,1738.95,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,MAF,Primary Energy,EJ/yr,42.68,50.12,50.13,58.29,74.20,86.57,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2,Mt CO2/yr,12085.85,12744.33,11646.37,8272.30,4457.91,1625.18,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81,12669.18,11577.18,8216.20,4423.14,1610.87,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,OECD90,Primary Energy,EJ/yr,193.12,202.29,185.63,175.80,169.68,154.18,,,,,
